type,stage_type,layer_type,layers_k1,layers_k2,act_on_last_layer_mp,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,dilated_stage,eginconv,1.0,3.0,False,val_best,69.2,9.8367,0.102,0.0046,1142407.0,14.8527,0.3882,0.97,0.0013,0.7611,0.0157,0.2886,0.0442,0.4167,0.0478,0.8844,0.0141
dilated_gnn,dilated_stage,eginconv,1.0,3.0,True,val_best,67.1,22.9628,0.1038,0.0082,1142407.0,15.7102,0.3518,0.9697,0.002,0.7603,0.0175,0.2759,0.0674,0.4007,0.0767,0.8768,0.0275
dilated_gnn,dilated_stage,eginconv,2.0,1.0,False,val_best,66.7,22.2623,0.1006,0.0089,870903.0,11.9563,0.23,0.97,0.0023,0.7307,0.0441,0.3073,0.067,0.4301,0.0755,0.8875,0.0298
dilated_gnn,dilated_stage,eginconv,2.0,1.0,True,val_best,77.4,17.951,0.0967,0.0068,870903.0,10.7817,0.1297,0.9711,0.0018,0.751,0.0293,0.3395,0.0497,0.4663,0.0545,0.8991,0.022
dilated_gnn,dilated_stage,eginconv,2.0,2.0,False,val_best,60.2,15.848,0.1003,0.0076,1142405.0,14.477,0.4647,0.9708,0.0016,0.7573,0.0177,0.3239,0.0477,0.4522,0.0495,0.8849,0.0238
dilated_gnn,dilated_stage,eginconv,2.0,2.0,True,val_best,57.5,21.2521,0.1021,0.0092,1142405.0,14.9333,0.2351,0.9705,0.0021,0.7545,0.0347,0.3101,0.0635,0.4367,0.0726,0.8798,0.0313
dilated_gnn,dilated_stage,eginconv,2.0,3.0,False,val_best,80.6,12.619,0.1025,0.0041,1413907.0,16.716,0.6125,0.97,0.001,0.7307,0.0204,0.3138,0.0293,0.4385,0.0322,0.8796,0.0151
dilated_gnn,dilated_stage,eginconv,2.0,3.0,True,val_best,68.1,17.0496,0.1056,0.0053,1413907.0,16.7274,0.3662,0.9696,0.0012,0.7378,0.018,0.2907,0.0406,0.4157,0.0435,0.8678,0.0164
dilated_gnn,dilated_stage,eginconv,3.0,1.0,False,val_best,69.7,19.9251,0.0983,0.0085,1142403.0,12.9153,0.3543,0.9707,0.0018,0.764,0.0207,0.313,0.06,0.4411,0.0659,0.8977,0.0266
dilated_gnn,dilated_stage,eginconv,3.0,1.0,True,val_best,62.9,24.0684,0.1021,0.0129,1142403.0,13.127,0.1824,0.9697,0.003,0.7412,0.0539,0.2811,0.101,0.3988,0.1264,0.8857,0.0423
dilated_gnn,dilated_stage,eginconv,3.0,2.0,False,val_best,76.5,22.4332,0.1119,0.0084,1413905.0,15.5977,0.6152,0.9684,0.0017,0.7515,0.017,0.2318,0.0628,0.3496,0.0765,0.8482,0.0273
dilated_gnn,dilated_stage,eginconv,3.0,2.0,True,val_best,79.1,18.5227,0.1113,0.007,1413905.0,15.3305,0.2999,0.9683,0.0017,0.7369,0.0244,0.2366,0.0565,0.3553,0.0671,0.8519,0.0231
dilated_gnn,dilated_stage,eginconv,3.0,3.0,False,val_best,90.4,6.7261,0.1093,0.0012,1685407.0,17.3804,0.3367,0.9686,0.0003,0.7279,0.0127,0.2573,0.0081,0.3801,0.0092,0.8546,0.0073
dilated_gnn,dilated_stage,eginconv,3.0,3.0,True,val_best,74.8,14.905,0.1115,0.0047,1685407.0,15.1552,0.1933,0.9682,0.0011,0.7248,0.0157,0.2409,0.037,0.3604,0.0429,0.8468,0.0165
standard_gnn,standard_stage,egatconv,,,False,val_best,44.9,29.8612,0.1444,0.0058,963601.0,15.1681,0.0733,0.9621,0.0003,0.2861,0.1654,0.0213,0.0222,0.039,0.0391,0.7181,0.0349
standard_gnn,standard_stage,egatconv,,,True,val_best,46.0,24.7467,0.1447,0.0024,963601.0,15.6763,0.1613,0.9622,0.0002,0.2029,0.1142,0.0051,0.0037,0.01,0.0072,0.7243,0.0215
standard_gnn,standard_stage,eginconv,,,False,val_best,85.9,14.2299,0.128,0.0088,1413601.0,12.4039,0.2478,0.964,0.0014,0.5314,0.1579,0.0972,0.0704,0.1583,0.1086,0.7911,0.0321
standard_gnn,standard_stage,eginconv,,,True,val_best,86.7,15.0536,0.1279,0.0082,1413601.0,11.8497,0.1965,0.9636,0.0011,0.5716,0.0761,0.0875,0.0531,0.1472,0.0811,0.794,0.0357
