d,type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,weight_decay,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,985,0.1073,0.0,14277.0,0.8706,0.0,0.9777,0.0,0.9747,0.0,0.9723,0.0,0.9735,0.0,0.9984,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.0,mean,999,0.343,0.0171,14149.0,0.9942,0.0156,0.8574,0.0047,0.8749,0.0103,0.7632,0.0021,0.8152,0.0033,0.9204,0.0068,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,999,0.3055,0.0148,14277.0,0.9562,0.0564,0.8766,0.0101,0.8787,0.0113,0.8169,0.0197,0.8465,0.0136,0.9455,0.0077,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.5,mean,999,0.4414,0.0073,14149.0,0.6695,0.02,0.8028,0.0106,0.8078,0.0134,0.6804,0.0181,0.7386,0.0162,0.863,0.0102,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,999,0.1448,0.0,6183.0,1.1898,0.0,0.9618,0.0,0.9542,0.0,0.9542,0.0,0.9542,0.0,0.9938,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.0,mean,999,0.3394,0.0221,6087.0,0.8677,0.0288,0.8632,0.015,0.882,0.0244,0.7735,0.0152,0.8242,0.0188,0.9189,0.0102,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,999,0.3443,0.0057,6183.0,1.4165,0.0531,0.8526,0.0057,0.8504,0.0112,0.7836,0.0178,0.8155,0.0094,0.9262,0.0037,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.5,mean,999,0.4744,0.0212,6087.0,1.4474,0.083,0.7892,0.0104,0.8046,0.0138,0.651,0.0231,0.7195,0.0172,0.8444,0.0191,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,713,0.0697,0.0,18503.0,0.9364,0.0,0.9926,0.0,0.9949,0.0,0.9874,0.0,0.9912,0.0,0.9997,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,64,32,0.01,0.0005,False,relu,0.0,mean,999,0.3705,0.09,18311.0,1.2543,0.0399,0.8441,0.057,0.8638,0.0633,0.7411,0.0852,0.7973,0.0766,0.9005,0.0455,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,64,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,999,0.2809,0.0163,18503.0,0.8701,0.0377,0.8887,0.006,0.8982,0.0088,0.8254,0.0177,0.8601,0.0072,0.9574,0.0064,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,64,32,0.01,0.0005,False,relu,0.5,mean,999,0.4749,0.0378,18311.0,0.9546,0.0408,0.7829,0.0221,0.8007,0.0228,0.6414,0.0487,0.7113,0.0359,0.8458,0.0256,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,1,32,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,999,0.0339,0.0,5091.0,0.8644,0.0,0.9968,0.0,0.9974,0.0,0.9949,0.0,0.9961,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,1,32,32,0.01,0.0005,False,relu,0.0,mean,925,0.3127,0.0,5027.0,0.603,0.0,0.8664,0.0,0.8754,0.0,0.7844,0.0,0.8274,0.0,0.9362,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,1,32,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,999,0.421,0.0133,5091.0,0.8842,0.0131,0.7996,0.0053,0.8034,0.0119,0.6859,0.0328,0.7393,0.0141,0.8788,0.0093,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,1,32,32,0.01,0.0005,False,relu,0.5,mean,999,0.5109,0.0,5027.0,0.6019,0.0,0.7794,0.0,0.7921,0.0,0.6234,0.0,0.6977,0.0,0.813,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,1,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,999,0.0622,0.0217,14275.0,0.9194,0.0122,0.9883,0.0053,0.9847,0.0101,0.9872,0.0025,0.9859,0.0064,0.9992,0.0007,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=1-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,1,64,32,0.01,0.0005,False,relu,0.0,mean,999,0.1975,0.0,14147.0,0.6487,0.0,0.9268,0.0,0.9355,0.0,0.8855,0.0,0.9098,0.0,0.9751,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=1-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
