d,type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,weight_decay,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,939,0.0628,0.0107,14277.0,0.8732,0.0132,0.9958,0.001,0.9962,0.0013,0.9936,0.0037,0.9949,0.0012,0.9998,0.0002,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.0,mean,747,0.2618,0.076,14149.0,0.991,0.0357,0.892,0.0364,0.9026,0.027,0.8261,0.0723,0.8618,0.0524,0.9488,0.0352,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,787,0.2841,0.0101,14277.0,0.9443,0.0705,0.8939,0.0091,0.8984,0.0104,0.8402,0.0167,0.8683,0.0122,0.9563,0.004,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,2,64,32,0.01,0.0005,False,relu,0.5,mean,902,0.4253,0.0111,14149.0,0.6871,0.0091,0.8159,0.0059,0.8222,0.0107,0.7056,0.0051,0.7594,0.0051,0.8758,0.0079,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,948,0.1087,0.0225,6183.0,1.1524,0.0335,0.9825,0.0048,0.9819,0.005,0.9756,0.0061,0.9788,0.0056,0.9986,0.0007,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.0,mean,969,0.3338,0.011,6087.0,0.8853,0.0618,0.8669,0.0073,0.8928,0.0148,0.7716,0.0035,0.8278,0.0083,0.9218,0.0061,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,735,0.3345,0.0089,6183.0,1.4208,0.0933,0.8659,0.006,0.8679,0.0123,0.7997,0.0161,0.8323,0.008,0.9322,0.0051,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,32,32,0.01,0.0005,False,relu,0.5,mean,597,0.4613,0.0306,6087.0,1.4499,0.1014,0.7987,0.0212,0.8138,0.0231,0.6697,0.0414,0.7343,0.0304,0.8548,0.0175,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,675,0.0672,0.0,18503.0,0.8976,0.0,0.9968,0.0,0.995,0.0,0.9975,0.0,0.9962,0.0,0.9998,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,1,3,64,32,0.01,0.0005,False,relu,0.0,mean,950,0.2985,0.1417,18311.0,1.2874,0.0289,0.8741,0.0778,0.893,0.0825,0.7888,0.1191,0.8369,0.104,0.9254,0.0618,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=1-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
