type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,egatconv,2.0,3.0,add,False,83,0.1378,0.0029,963604.0,17.8156,0.1794,0.9641,0.0005,0.6602,0.0187,0.0841,0.0265,0.1476,0.0446,0.7389,0.0182
dilated_gnn,egatconv,2.0,3.0,add,True,97,0.1358,0.0041,963607.0,18.4986,0.3465,0.9643,0.0005,0.6698,0.0396,0.0925,0.0193,0.1618,0.0297,0.749,0.0244
dilated_gnn,egatconv,2.0,3.0,concat,False,92,0.1318,0.0053,963904.0,18.537,0.1688,0.9646,0.0008,0.6651,0.0232,0.1089,0.036,0.1849,0.0529,0.7695,0.0236
dilated_gnn,egatconv,2.0,3.0,concat,True,94,0.1358,0.0031,963907.0,18.1584,0.2592,0.9642,0.0005,0.6676,0.0402,0.0886,0.0188,0.1559,0.0289,0.753,0.0192
dilated_gnn,egatconv,2.0,3.0,none,False,77,0.1377,0.0048,963604.0,18.1019,0.229,0.9642,0.0007,0.6496,0.0286,0.09,0.0299,0.1567,0.0445,0.738,0.0249
dilated_gnn,egatconv,2.0,3.0,none,True,95,0.1382,0.006,963607.0,19.2873,0.3651,0.964,0.0006,0.6471,0.0255,0.0848,0.0299,0.1482,0.0462,0.734,0.0331
dilated_gnn,egatconv,3.0,1.0,add,False,88,0.1218,0.011,782102.0,15.6476,0.3386,0.9663,0.0025,0.6678,0.0938,0.1752,0.086,0.2706,0.1165,0.8102,0.0389
dilated_gnn,egatconv,3.0,1.0,add,True,97,0.124,0.0087,782103.0,15.9276,0.2366,0.9657,0.0018,0.6735,0.0434,0.1533,0.0667,0.2446,0.0879,0.8022,0.0345
dilated_gnn,egatconv,3.0,1.0,concat,False,97,0.1311,0.0094,782402.0,15.1717,0.1047,0.9641,0.0018,0.5725,0.1225,0.1032,0.0674,0.1696,0.101,0.7791,0.0356
dilated_gnn,egatconv,3.0,1.0,concat,True,87,0.1337,0.0078,782403.0,15.5946,0.1911,0.9636,0.0011,0.571,0.0789,0.0738,0.0519,0.1261,0.0824,0.7689,0.0346
dilated_gnn,egatconv,3.0,1.0,none,False,99,0.1284,0.0093,782102.0,15.0322,0.1851,0.9651,0.0019,0.6427,0.1089,0.1271,0.0704,0.2066,0.1022,0.7853,0.0344
dilated_gnn,egatconv,3.0,1.0,none,True,99,0.1316,0.0102,782103.0,15.7763,0.2979,0.9644,0.0018,0.5916,0.1199,0.1054,0.0666,0.1738,0.102,0.7715,0.041
