type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,egatconv,2.0,1.0,none,True,val_best,45.0,30.8448,0.1418,0.004,600603.0,13.0095,0.0603,0.9624,0.0003,0.3563,0.1462,0.0174,0.0149,0.0329,0.0274,0.7348,0.0185
dilated_gnn,egatconv,2.0,2.0,add,False,val_best,50.9,30.953,0.1352,0.002,782103.0,14.8182,0.1851,0.9638,0.0005,0.6422,0.0658,0.0778,0.0177,0.138,0.0289,0.7568,0.0134
dilated_gnn,egatconv,2.0,2.0,add,True,val_best,48.2,23.2198,0.1374,0.002,782105.0,16.4677,0.3613,0.9637,0.0003,0.6484,0.0362,0.0666,0.0112,0.1205,0.0181,0.7456,0.0122
dilated_gnn,egatconv,2.0,2.0,concat,False,val_best,28.3,23.2553,0.1352,0.0043,782403.0,16.0294,0.1269,0.9636,0.0007,0.6201,0.0512,0.0687,0.0333,0.1216,0.0551,0.7578,0.0206
dilated_gnn,egatconv,2.0,2.0,concat,True,val_best,56.8,28.4949,0.1364,0.0036,782405.0,16.3342,0.3427,0.9637,0.0005,0.5737,0.1941,0.0688,0.0299,0.1219,0.0511,0.7515,0.0206
dilated_gnn,egatconv,2.0,2.0,none,False,val_best,32.8,25.6429,0.1391,0.0062,782103.0,16.2665,0.3751,0.9633,0.0008,0.5803,0.0845,0.0516,0.0416,0.0912,0.0685,0.7381,0.029
dilated_gnn,egatconv,2.0,2.0,none,True,val_best,43.6,23.4231,0.1414,0.0028,782105.0,16.3408,0.2617,0.9632,0.0003,0.601,0.0512,0.0465,0.0233,0.085,0.0403,0.7233,0.0137
dilated_gnn,egatconv,2.0,3.0,add,False,val_best,56.3,26.4426,0.1401,0.0035,963604.0,17.9423,0.3487,0.9636,0.0007,0.5979,0.1227,0.0675,0.0294,0.1202,0.0502,0.7304,0.0206
dilated_gnn,egatconv,2.0,3.0,add,True,val_best,61.6,26.1465,0.138,0.0039,963607.0,18.5652,0.2764,0.9636,0.0006,0.6315,0.0317,0.0647,0.0294,0.1156,0.0496,0.7397,0.0185
dilated_gnn,egatconv,2.0,3.0,concat,False,val_best,41.5,23.0315,0.1366,0.0021,963904.0,18.7767,0.3859,0.9639,0.0003,0.6478,0.0323,0.0795,0.0126,0.1412,0.0203,0.7477,0.0124
dilated_gnn,egatconv,2.0,3.0,concat,True,val_best,51.0,25.2547,0.1384,0.0046,963907.0,18.1866,0.4131,0.9637,0.0009,0.61,0.1077,0.0632,0.0375,0.1122,0.0636,0.7363,0.0223
dilated_gnn,egatconv,2.0,3.0,none,False,val_best,29.4,23.3075,0.1421,0.0041,963604.0,18.1238,0.258,0.9632,0.0007,0.6072,0.1061,0.0452,0.0362,0.081,0.063,0.7217,0.0214
dilated_gnn,egatconv,2.0,3.0,none,True,val_best,18.7,11.446,0.1434,0.003,963607.0,19.2507,0.4201,0.9629,0.0005,0.3822,0.3172,0.021,0.0249,0.0391,0.0452,0.7148,0.0141
dilated_gnn,egatconv,3.0,1.0,add,False,val_best,23.4,16.0262,0.1375,0.0052,782102.0,15.7259,0.2655,0.9628,0.0007,0.4934,0.0916,0.0413,0.0356,0.0736,0.0597,0.7536,0.0218
dilated_gnn,egatconv,3.0,1.0,add,True,val_best,27.4,28.8971,0.139,0.0052,782103.0,15.9881,0.2624,0.9627,0.0004,0.4295,0.1929,0.0261,0.0322,0.047,0.0555,0.7475,0.0236
dilated_gnn,egatconv,3.0,1.0,concat,False,val_best,33.0,28.3337,0.1394,0.0037,782402.0,15.214,0.2291,0.9625,0.0003,0.4389,0.1531,0.0308,0.0183,0.0568,0.0332,0.7439,0.0199
dilated_gnn,egatconv,3.0,1.0,concat,True,val_best,29.8,11.5395,0.1405,0.0046,782403.0,15.6177,0.1178,0.9623,0.0003,0.3427,0.1492,0.0194,0.0189,0.036,0.0334,0.7447,0.0203
dilated_gnn,egatconv,3.0,1.0,none,False,val_best,45.0,22.1314,0.1375,0.0071,782102.0,15.159,0.1436,0.9634,0.001,0.5812,0.1042,0.0607,0.0441,0.1065,0.0729,0.7453,0.0336
dilated_gnn,egatconv,3.0,1.0,none,True,val_best,24.7,14.3042,0.1412,0.0074,782103.0,15.9096,0.3573,0.963,0.0009,0.293,0.2891,0.0286,0.0414,0.0506,0.0709,0.7345,0.0296
dilated_gnn,egatconv,3.0,2.0,add,False,val_best,44.7,29.9334,0.1376,0.0054,963603.0,18.6807,0.3284,0.9633,0.0009,0.5234,0.1899,0.0588,0.0384,0.104,0.0646,0.7482,0.0253
dilated_gnn,egatconv,3.0,2.0,add,True,val_best,48.6,26.2267,0.1377,0.0035,963605.0,19.0957,0.4407,0.9635,0.0007,0.5313,0.2689,0.0533,0.034,0.0959,0.0592,0.7476,0.0176
dilated_gnn,egatconv,3.0,2.0,concat,False,val_best,24.4,25.5429,0.1388,0.0028,963903.0,17.7908,0.2688,0.9632,0.0005,0.5638,0.1952,0.0445,0.0262,0.0813,0.0452,0.7404,0.0129
dilated_gnn,egatconv,3.0,2.0,concat,True,val_best,60.4,28.1894,0.138,0.0029,963905.0,18.3002,0.1597,0.9635,0.0005,0.6531,0.0483,0.053,0.0215,0.0969,0.037,0.7471,0.0122
dilated_gnn,egatconv,3.0,2.0,none,False,val_best,40.4,21.8367,0.1377,0.0081,963603.0,18.0619,0.2349,0.9639,0.0014,0.6227,0.0885,0.0724,0.0624,0.1231,0.0944,0.7408,0.0324
dilated_gnn,egatconv,3.0,2.0,none,True,val_best,43.6,19.5663,0.1428,0.0024,963605.0,18.3869,0.4215,0.963,0.0003,0.5504,0.1308,0.034,0.0198,0.0632,0.0361,0.7181,0.0145
dilated_gnn,egatconv,3.0,3.0,add,False,val_best,35.8,30.5509,0.1402,0.0028,1145104.0,20.4168,0.417,0.9634,0.0006,0.585,0.1988,0.045,0.0292,0.0822,0.0514,0.7291,0.0145
dilated_gnn,egatconv,3.0,3.0,add,True,val_best,51.7,30.5681,0.1434,0.0148,1145107.0,20.984,0.35,0.9635,0.0009,0.494,0.2565,0.0541,0.039,0.0964,0.0674,0.7244,0.056
dilated_gnn,egatconv,3.0,3.0,concat,False,val_best,19.1,22.9017,0.144,0.0105,1145404.0,19.8843,0.3066,0.9628,0.0004,0.407,0.2776,0.0192,0.0222,0.0359,0.0406,0.7216,0.033
